DateTime,Temperature,HighestTemp,L6B,HL6B,Energy
2014/1/1,17,20.5,3910,4743,73346
2014/2/1,17,22.3,3801,4470,73220
2014/3/1,19,24.7,3865,4774,73744
2014/4/1,22,24.4,3775,4340,74675
2014/5/1,24,28.3,3871,4717,76329
2014/6/1,27,29.3,3857,4667,77636
2014/7/1,29,30,3914,4650,79147
2014/8/1,28,29.4,3871,4876,79156
2014/9/1,28,31,3794,4608,79004
2014/10/1,24,27.1,4028,4764,77259
2014/11/1,22,24.7,3951,4650,76129
2014/12/1,17,19.8,3439,4123,73510
2015/1/1,17,20.3,4001,4495,74194
2015/2/1,17,19.8,4061,4619,74671
2015/3/1,18,24.5,3953,4515,75056
2015/4/1,22,26.8,3989,4836,76590
2015/5/1,25,28.1,3972,4402,78404
2015/6/1,28,29.2,3957,4526,79492
2015/7/1,28,29.4,3976,4557,80522
2015/8/1,27,28.9,3922,4371,79443
2015/9/1,26,27.8,4006,4588,78834
2015/10/1,24,27.6,3975,4464,78334
2015/11/1,23,26,3917,4991,77936
2015/12/1,18,21.9,3861,4464,76409
2016/1/1,16,20.2,3824,4464,75528
2016/2/1,15,23.1,3915,4526,75524
2016/3/1,16,21.9,3778,4526,76536
2016/4/1,22,25.7,3942,4464,78755
2016/5/1,25,28.2,3973,4401,80159
2016/6/1,27,29.2,3998,4340,81216
2016/7/1,28,29.4,4091,4495,81724
2016/8/1,28,29.2,4133,4767,81791
2016/9/1,26,27.8,4095,4408,81045
2016/10/1,25,28.1,4107,4619,80369
2016/11/1,21,24.3,4088,5022,79421
2016/12/1,18,22.4,4107,4526,78825
2017/1/1,17,20.6,3935,4774,77531
2017/2/1,16,20.1,4166,4991,76986
2017/3/1,16,21.1,4142,4622,77818
2017/4/1,23,26.6,4581,4588,79126
2017/5/1,24,26.3,4216,4588,80158
2017/6/1,26,27.7,4230,4526,82128
2017/7/1,27,28.8,4229,4890,81719
2017/8/1,28,28.5,4196,4543,81645
2017/9/1,27,28.6,4282,4580,81600
2017/10/1,23,28.1,4281,4805,80192
2017/11/1,20,24,4155,5064,78644
2017/12/1,16,19.9,4225,5277,76546
2018/1/1,15,19.6,4263,5318,76533
2018/2/1,14,19.7,4299,4681,76293
2018/3/1,18,22.3,4388,4874,77619
2018/4/1,21,25.5,4441,5177,78791
2018/5/1,25,27.5,4364,4681,80325
2018/6/1,26,27.5,4303,4779,80444
2018/7/1,27,28.6,4375,5105,81052
2018/8/1,26,28.3,4372,4975,81391
2018/9/1,25,28.7,4348,4867,81086
2018/10/1,21,23.9,4310,5136,78778
2018/11/1,20,23.5,4273,5053,78543
2018/12/1,18,23.3,4333,5084,77086
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
